회사명,거래소코드,회계년도,CASH FLOW 대 부채비율,CASH FLOW 대 차입금비율,CASH FLOW 대 총자본비율,CASH FLOW 대 매출액비율,유동비율,당좌비율,부채비율,유동부채비율,차입금의존도,순운전자본비율,현금비율,유동자산구성비율,자기자본구성비율,자기자본순이익률,경영자본순이익률,매출액순이익률,총자본사업이익률,총자본영업이익률,매출액영업이익률,금융비용부담률,CROE,총자산증가율,총자본증가율,유동자산증가율,비유동자산증가율,매출액증가율,유형자산증가율,부가가치(백만원),총자본투자효율,설비투자효율,부가가치율,이윤분배율,자본분배율,총자산회전율,매출채권회전률,당좌자산회전률,유형자산회전율,경영자본회전률,총자본회전률,비유동자산회전률,유동자산회전률,영업년수,부실판단,도입기,성숙기,성장기,쇠퇴기
(주)이노웨이브,54553,2022,-9.57,-20.34,-5.43,-8.93,72.4,64.6,131.04,130.05,26.67,-15.54,4.95,40.75,43.28,-23.6,-19.72,-19.18,-6.65,-6.74,-11.53,1.62,-9.060000000000002,-7.286278571521813,-7.29,-23.34,8.31,-17.99,-61.1,-878.76,-2.42,-30.23,-3.98,0.0,0.0,0.6074949948339624,2.58,1.55,4.26,1.03,0.58,1.07,1.29,23.0,1.0,0,1,0,0
(주)이노터치테크놀로지,69406,2021,5.44,7.97,4.34,10.02,41.18,7.85,393.66,362.55,54.44,-43.2,0.35,30.24,20.26,-97.07,-19.8,-44.74,-18.95,-18.95,-42.91,4.19,-46.18999999999999,4.1164690865763465,4.12,-18.93,18.76,-10.08,32.0,-153.3,-1.19,-2.2,-2.75,0.0,0.0,0.4329408369368024,8.22,6.1,0.91,0.44,0.44,0.67,1.28,24.0,1.0,0,1,0,0
(주)이니셜닷컴,67947,2016,8.34,12.78,13.46,5.72,55.71,22.39,0.0,0.0,105.32,-70.51,6.87,88.7,0.0,0.0,11.39,5.0,21.38,21.24,9.32,0.77,0.0,-6.1318493291094605,-6.13,-4.7,-16.02,10.52,-15.04,3536.26,51.49,513.49,21.88,22.85,68.63,2.3528636096804174,9.66,7.3,21.56,2.28,2.28,19.0,2.59,17.0,1.0,0,1,0,0
(주)이루팩,80865,2022,9.22,11.9,9.26,9.37,24.3,19.16,0.0,0.0,77.85,-63.24,4.93,20.3,0.0,0.0,-9.6,-9.85,-5.36,-5.42,-5.65,3.45,39.56,-5.564406150934808,-5.56,-11.45,-3.94,14.87,-3.71,1988.66,15.09,19.81,15.28,-64.48,35.47,0.988017792014088,7.86,5.67,1.26,0.97,0.96,1.21,4.57,15.0,1.0,0,1,0,0
(주)이산냉동,60105,2014,2.42,2.95,2.56,16.8,3.29,3.29,0.0,0.0,86.83,-55.01,1.44,1.87,0.0,0.0,-1.0,-6.75,-0.82,-0.82,-5.52,18.44,0.0,-4.939983025361061,-4.94,-59.68,-2.41,-13.73,-2.42,1776.02,13.05,13.3,85.58,-7.89,42.65,0.1524464128259574,13.14,4.68,0.15,0.15,0.15,0.15,4.68,16.0,1.0,0,1,0,0
(주)이시스코스메틱,81050,2021,14.01,17.64,9.2,9.32,36.32,20.13,191.23,160.31,52.14,-35.06,7.32,19.99,34.34,-25.86,-9.68,-10.4,-13.17,-13.31,-14.56,0.96,-16.54,-13.79085416534771,-13.79,-46.41,1.67,-30.34,-1.72,203.52,0.26,0.39,0.27,-3898.55,-993.48,0.9870449933421044,17.41,9.11,1.42,0.93,0.91,1.24,3.45,9.0,1.0,0,1,0,0
(주)이에스종합건설,81007,2020,17.03,430.44,11.48,69.5,1259.56,1233.79,206.6,17.62,2.67,66.64,270.0,72.38,32.62,-1.07,-0.19,-2.12,-0.38,-0.86,-10.0,1.6,13.79,-64.76136154973821,-64.76,-46.75,198.96,62.39,342.2,803.72,1.66,8.9,10.07,-21.09,32.46,0.1651186981966352,2.29,0.16,1.44,0.09,0.09,0.9,0.16,14.0,1.0,0,1,0,0
(주)이엔에이치,57786,2014,0.98,1.25,0.9,0.9,61.91,37.27,1259.6,719.6,72.25,-20.16,0.85,32.77,7.36,-112.42,-15.92,-16.39,3.04,3.01,3.19,4.7,-57.09,-12.163312689178769,-12.16,23.95,-23.08,76.4,-9.97,241.16,0.42,0.68,0.42,-3936.08,-702.99,1.0082994618305616,8.93,6.32,1.53,0.97,0.94,1.3,3.41,19.0,1.0,0,1,0,0
(주)이오니아이엔티,66282,2014,-0.52,-1.57,-0.41,-0.35,71.9,66.26,376.19,309.73,25.95,-18.27,2.01,46.77,21.0,6.16,1.6,1.08,4.17,1.03,0.7,-0.65,42.14,76.97024137819545,76.97,1151.6419183328635,0.38,394.87,0.64,813.87,4.36,8.2,3.76,28.77,67.57,1.1604893730261707,5.55,5.25,2.19,1.48,1.48,2.18,4.62,12.0,1.0,0,1,0,0
(주)이우,17063,2020,5.81,6.25,3.29,17.34,117.23,108.1,130.14,127.69,52.6,9.56,1.52,65.04,43.45,0.09,0.04,0.2,2.37,0.17,0.89,-0.42,0.03,-0.3111379936912861,-0.31,0.78,-2.28,-18.5,-3.51,1647.11,4.17,13.12,21.98,0.89,48.88,0.1896691693330567,6.24,0.32,0.59,0.19,0.19,0.54,0.29,33.0,1.0,0,1,0,0
(주)이지시스템,12043,2015,-3.23,-6.29,-3.59,-2.11,60.56,54.24,0.0,0.0,57.1,-40.53,6.74,62.25,0.0,0.0,-3.94,-2.42,2.94,2.25,1.41,1.35,0.0,-11.568838896106625,-11.57,-18.25,2.21,32.14,-2.2,1593.79,17.44,53.25,10.27,-23.59,3.06,1.6987378888419935,5.03,2.78,5.13,1.63,1.59,4.55,2.45,30.0,1.0,0,1,0,0
(주)이지알앤에스,53506,2022,2.24,3.03,1.57,117.91,5.65,5.65,232.59,203.3,51.69,-57.67,0.06,3.45,30.07,-10.41,-3.5,-248.34,-0.74,-1.08,-80.88,147.12327264908745,-1.3499999999999996,0.5086013673695253,0.51,54.1,-0.73,8.32,-0.12,299.05,0.72,0.79,54.37,-456.78,27.7,0.0132917692689394,4.21,0.47,0.01,0.01,0.01,0.01,0.47,20.0,1.0,0,1,0,0
(주)이천설봉온천,85340,2022,-1.2,-1.25,-1.2,-9.32,4.08,4.08,0.0,0.0,95.89,-12.96,0.38,0.55,0.0,0.0,-0.47,-3.63,2.42,2.41,18.77,26.42,183.87,-0.2162174691944904,-0.22,296.06,-0.63,67.92,-0.63,1613.95,9.71,9.77,75.57,-4.81,46.79,0.1285245475036396,129.24,37.26,0.13,0.13,0.13,0.13,36.78850637315119,12.0,1.0,0,1,0,0
(주)이화테크원,74781,2019,5.8,6.63,3.96,6.1,83.7,46.0,215.48,97.54,59.78,-5.04,0.08,25.88,31.7,-14.19,-4.66,-7.45,-3.24,-3.24,-5.29,3.11,-4.0,-10.648282745097244,-10.65,-25.18,-4.15,-12.09,-3.71,1411.63,8.45,11.7,12.99,-57.33,44.67,0.6500232065540071,3.63,3.53,0.88,0.63,0.61,0.86,2.15,17.0,1.0,0,1,0,0
(주)인벤테라도시개발,72933,2020,7.55,8.0,4.87,50.44,1425.68,622.21,181.6,16.38,60.91,77.11,22.22,82.93,35.51,-8.44,-3.04,-32.41,-0.81,-0.81,-8.67,24.89,14.18,-6.59562156809344,-6.6,-11.53,28.09,228.66,33.43,363.17,2.02,13.0,20.96,-154.64,53.61,0.0965596062108967,0.0,0.26,0.71,0.09,0.09,0.64,0.11,16.0,1.0,0,1,0,0
(주)인사동마루,74870,2019,1.04,1.11,0.88,15.39,1.94,1.76,538.95,507.41,79.24,-77.87,0.67,1.54,15.65,1.29,0.2,3.52,2.58,2.58,45.33,50.07,1.15,-0.3328952692672368,-0.33,46.64,-0.83,12.06,-0.82,1418.73,5.33,5.41,93.46,3.77,82.69,0.0569785095357314,15.07,5.08,0.06,0.06,0.06,0.06,4.4,19.0,1.0,0,1,0,0
(주)인천도화위탁관리부동산투자회사,74695,2018,4.47,6.24,3.23,171.76,6972.88,6972.88,259.2,0.56,51.74,10.71,3629.171261381569,10.87,27.84,-4.2,-1.2,-64.72,0.14,0.1,5.33,70.27,0.2199999999999997,-2.3114335657100327,-2.31,-9.05,-1.42,3.37,-1.42,1987.95,1.45,1.62,76.91,-84.15,99.82,0.0187947453661178,0.0,0.16,0.02,0.02,0.02,0.02,0.16,10.0,1.0,0,1,0,0
(주)인타이어모터스,70583,2018,10.34,12.23,8.54,2.45,78.59,16.33,476.59,352.08,69.89,-13.08,3.51,47.99,17.34,9.32,1.6,0.44,2.32,2.25,0.66,0.77,-3.3100000000000005,-3.332403791660328,-3.33,-2.33,-4.24,-14.06,-4.12,4620.98,29.7,71.71,8.52,5.2,33.55,3.486453081992126,2111.01,46.81,8.24,3.62,3.43,6.56,7.18,11.0,1.0,0,1,0,0
(주)인터파크씨어터,58019,2014,4.41,5.13,3.77,17.01,64.5,63.72,594.09,115.91,73.52,-5.93,23.63,10.77,14.41,-16.66,-2.56,-11.81,1.03,1.02,4.69,16.5,7.969999999999999,-4.198484590206843,-4.2,25.54,-6.86,-4.77,-29.15,4799.5,8.98,273.54,40.5,-29.16,88.16,0.2217108347185689,12.03,2.31,5.6,0.22,0.22,0.24,2.29,15.0,1.0,0,1,0,0
(주)인트로지스,94736,2021,4.2,31.68,4.04,1.07,64.91,64.91,2483.31,1533.36,12.75,-20.83,5.4,38.53,3.87,-57.91,-7.07,-0.84,-1.67,-3.9,-1.05,-0.38,-14.779999999999994,-2.056976705827048,-2.06,-14.12,7.4,-5.96,-27.1,10446.71,274.19930319575656,13928.72,73.07,-1.15,-0.13,3.7619766234183154,10.71,9.02,160.74,8.217665571457758,3.72,6.34,9.02,6.0,1.0,0,1,0,0
(주)일삼사메리트컴,56502,2015,4.62,7.08,6.53,16.74,18.0,18.0,0.0,0.0,92.29,-72.21,0.02,15.85,0.0,0.0,-16.94,-44.72,-12.0,-12.0,-31.76,12.95,0.0,-6.101504080252627,-6.1,31.86,-10.93,-22.71,32635.92918076028,378.27,3.48,12459.45,8.92,-501.61,-8.53,0.3902911328042094,4.36,2.8,2793.83,0.38,0.38,0.44,2.8,16.0,1.0,0,1,0,0
(주)일성테크,63953,2022,2.26,2.94,1.53,2.48,52.22,42.35,208.3,108.45,52.01,-16.81,11.63,18.37,32.44,-8.08,-2.75,-4.44,-3.18,-3.25,-5.29,1.96,-5.91,-1.126996308416167,-1.13,9.96,-3.32,-0.1,-2.63,1387.55,6.56,8.44,10.63,-41.79,41.91,0.617321504656688,9.02,4.29,0.78,0.62,0.61,0.74,3.52,17.0,1.0,0,1,0,0
(주)자산유리,23781,2017,3.58,106.36,3.64,5.08,25.65,12.15,0.0,0.0,3.42,-63.35,1.86,21.85,0.0,0.0,-5.37,-7.59,-1.59,-1.65,-2.37,8.2,6.67,-5.962335660717381,-5.96,-19.23,-1.43,-15.15,-1.24,1991.87,9.75,13.08,13.58,-55.89,22.79,0.7174154545929572,6.96,4.94,0.96,0.71,0.7,0.91,2.93,44.0,1.0,0,1,0,0
(주)장업시스템,67166,2020,14.44,57.4,2.71,2.13,200.39,182.0,23.13,20.5,4.73,16.71,60.14,33.36,81.22,0.64,0.61,0.41,-5.67,-6.0,-4.84,-0.2,0.35,-4.934677455347409,-4.93,-6.12,-4.33,-24.85,-8.36,3799.44,14.64,31.73,11.52,3.53,43.97,1.2713996166185808,8.15,4.12,2.63,1.51,1.24,1.87,3.69,26.0,1.0,0,1,0,0
(주)장한산업,67310,2017,1.82,2.19,1.68,22.79,5.36,5.36,1198.82,853.19,76.8,-62.17,0.56,3.52,7.7,-1.79,-0.14,-1.89,2.32,2.32,31.61,32.91,-0.4199999999999999,-1.57683583423933,-1.58,56.22,-2.89,23.62,-1.82,717.21,6.16,6.39,83.43,-2.26,76.89,0.0738373617546915,10.83,2.56,0.08,0.07,0.07,0.08,2.56,13.0,1.0,0,1,0,0
(주)장현금속,82636,2021,0.68,0.86,0.51,0.54,80.22,65.31,293.29,161.68,59.4,-8.13,1.82,32.98,25.43,1.11,0.26,0.27,1.08,0.99,1.02,2.51,0.4700000000000001,6.450803297334788,6.45,7.72,5.84,38.51,5.43,1977.58,10.42,16.8,10.98,2.43,72.29,0.9489925651133572,4.34,3.52,1.57,0.99,0.98,1.46,2.98,14.0,1.0,0,1,0,0
(주)저스트원,48932,2020,-0.12,-0.12,-0.05,-3.1,89.85,81.95,69.36,68.22,40.19,-4.09,0.7,36.19,59.05,-7.15,-8.46,-283.23,-0.49,-0.58,-38.98,-2.25,1.1399999999999988,-3.1388221618053347,-3.14,114.81,-26.14,-10.96,775.47,-1260.95,-3.59,-74.95,-177.44724542669528,0.0,0.0,0.0151796033871783,0.0,0.07,0.57,0.03,0.01,0.02,0.06,20.0,1.0,0,1,0,0
(주)정범,100407,2022,12.45,132.19,14.71,2.97,96.37,96.37,0.0,0.0,11.13,-3.63,14.55,96.29,0.0,0.0,-7.37,-1.38,-9.71,-9.73,-1.84,0.13,0.0,14.26285191301204,14.26,15.09,-3.71,17.53,-37.07,464.02,10.35,2122.82,2.09,-65.98,-32.28,4.947330864833465,13.73,5.5,784.04,5.34,5.28,130.82,5.5,13.0,1.0,0,1,0,0
(주)정아마린,45904,2016,14.12,18.82,6.94,7.04,109.6,87.67,96.72,93.36,36.88,4.56,40.28,52.01,50.83,-3.21,-1.7,-1.71,-2.85,-3.12,-3.22,0.53,-7.41,-3.659989989179821,-3.66,-5.29,-1.83,-32.74,-1.74,3912.17,11.44,27.24,11.59,-14.72,5.94,0.9865257547581724,6.34,2.38,2.32,1.0,0.97,2.04,1.85,39.0,1.0,0,1,0,0
(주)정연내장,73264,2016,6.01,7.64,6.0,3.71,61.75,54.66,128904.56,83363.73,78.58,-24.72,0.37,39.9,0.08,-194.59,-5.5,-3.44,-3.44,-4.34,-2.75,2.23,-118.79,-5.167687663692458,-5.17,-6.46,-4.29,-8.08,-5.85,571.53,7.27,12.52,4.49,-76.63,15.98,1.619580926785573,13.01,4.64,2.71,1.6,1.58,2.64,3.92,20.0,1.0,0,1,0,0
(주)정현,78829,2017,5.54,5.59,5.22,36.62,0.53,0.53,1615.08,718.2,93.33,-41.65,0.42,0.22,5.83,-1.77,-0.1,-0.73,1.63,1.63,11.58,12.17,6.640000000000001,-2.845675206911641,-2.85,-55.59,-2.59,2.19,-2.8,762.7,10.19,11.45,71.54,-1.02,69.81,0.1424586077727798,0.0,39.41,0.16,0.14,0.14,0.14,36.78850637315119,9.0,1.0,0,1,0,0
(주)제이앤이,60804,2018,7.86,9.14,5.28,8.42,65.27,28.41,204.18,113.65,57.73,-12.98,9.57,24.39,32.88,-7.63,-2.5,-4.17,1.32,1.28,2.13,3.72,0.8600000000000003,-8.350578890102605,-8.35,-26.14,-0.63,-7.69,-3.74,3467.19,8.2,13.61,13.08,-31.85,55.06,0.6272046800900977,10.15,4.36,1.02,0.6,0.6,0.83,2.19,29.0,1.0,0,1,0,0
(주)제이에스아이홀딩스,67933,2014,1.43,1.54,1.43,17.28,0.67,0.67,83801.96,79566.56,92.47,-94.2,0.15,0.64,0.12,0.0,-0.39,-4.82,3.28,3.28,40.1,42.62,0.0,-1.9774566943830951,-1.98,-46.77,-1.45,21.03,-1.45,502.84,5.26,5.29,63.68,-7.57,94.17,0.0825740904273646,12.89,9.02,0.08,0.08,0.08,0.08,9.02,18.0,1.0,0,1,0,0
(주)제이에이치파트너,95369,2021,-2.46,-28.28,-7.53,-0.58,30.71,30.71,0.0,0.0,26.62,-173.17577353330557,0.01,94.09,0.0,0.0,-30.7,-2.27,-29.41,-29.42,-2.17,0.01,0.0,10.070735174500369,10.07,11.11,-4.17,15.26,0.03,10970.19,274.19930319575656,16515.59,73.23,-3.09,-2.15,6.155301845695557,14.48,14.47,225.57,8.217665571457758,6.372791478629009,214.15,14.47,6.0,1.0,0,1,0,0
(주)제이케이,62182,2021,5.94,394.6,5.62,68.5,1548.26,1495.91,1756.85,11.0,1.42,8.58,1412.18,9.17,5.39,66.97,9.61,33.05,2.62,-0.94,-11.29,-41.68,133.36,3.0219445810645054,3.02,24.37,1.27,3.7,-1.96,1225.42,1.43,89.71,17.44,189.53,24.97,0.082070994028078,26.3,1.03,5.03,0.29,0.08,0.09,0.99,19.0,1.0,0,1,0,0
(주)제이테크놀러지,11851,2014,6.96,23.75,4.02,0.9,131.77,90.98,136.83,127.55,16.94,17.11,1.39,70.97,42.22,3.08,1.36,0.29,1.11,0.42,0.09,0.02,2.1,3.8920526419212185,3.89,5.41,0.36,38.16,12.18,773.87,6.49,30.24,1.46,19.73,43.89,4.459703764221078,33.86,10.0,21.96,4.72,4.54,15.39,6.45,28.0,1.0,0,1,0,0
(주)제일레이저,58475,2020,3.4,3.61,3.35,9.57,44.4,34.44,7800.34,3997.61,93.03,-28.14,21.05,22.46,1.27,-167.9,-12.18,-37.79,-10.38,-10.54,-33.37,5.37,-141.03,-17.94010713855398,-17.94,-40.57,-7.77,-20.07,-6.86,346.81,1.61,2.13,4.61,-820.57,5.38,0.3503507193294877,6.86,1.54,0.45,0.32,0.32,0.43,1.16,19.0,1.0,0,1,0,0
(주)제일플랜트,82787,2020,3.97,5.15,3.48,8.76,35.48,35.48,713.06,506.33,67.64,-40.18,5.05,22.09,12.3,27.32,3.13,7.43,2.13,2.11,5.09,5.35,2.890000000000001,8.709740063100464,8.71,54.21,0.32,19.72,-2.23,2407.4,11.85,15.97,29.8,24.95,60.82,0.3976795526371154,3.35,2.18,0.53,0.42,0.41,0.51,2.18,15.0,1.0,0,1,0,0
(주)젬스메디컬,29095,2015,10.05,26.23,7.69,11.41,102.05,68.65,326.54,282.68,29.32,1.36,0.55,67.63,23.44,10.72,2.41,3.55,0.0,-0.4,-0.61,1.68,20.83,-7.067189501762249,-7.07,-9.67,-1.1,-1.42,-83.25,5792.81,14.09,2887.79,20.89,17.0,60.22,0.6742729567083797,2.2,1.5,39.67,0.68,0.65,2.07,0.95,29.0,1.0,0,1,0,0
(주)조와텍,69573,2020,10.24,10.3,1.71,186.36,115.65,115.65,20.08,20.08,16.62,2.62,12.05,19.34,83.28,0.02,0.01,1.45,-0.28,-1.08,-120.07,-51.22,0.13,-4.879674509024153,-4.88,-54.08,28.0,41.3,36.93,432.5,1.11,1.69,120.41,1.2,27.91,0.0091850373593467,0.0,0.03,0.02,0.01,0.01,0.01,0.03,12.0,1.0,0,1,0,0
(주)조은세이프,52770,2016,-28.01,-53.41,-21.32745773620272,-8.05,105.04,71.56,510.95,429.28,43.87,3.54,0.9,73.81,16.37,2.74,0.46,0.15,0.71,0.67,0.24,0.82,11.49,-9.677990374785184,-9.68,-12.96,1.07,2.03,27.98,1997.3,17.76,318.0,6.1,2.49,38.01,2.9097104104554856,7.97,5.29,58.49,3.02,2.76,11.17,3.67,17.0,1.0,0,1,0,0
(주)조흥,52722,2014,5.76,7.09,5.82,4.8,187.91,134.36,0.0,0.0,82.05,20.44,58.51,43.69,0.0,0.0,-9.02,-6.38,0.34,0.2,0.18,0.18,-6.67,-17.121011624023126,-17.12,-25.08,-9.68,-21.83,0.09,201.38,1.59,5.98,1.31,-486.35,-233.46,1.2124688827598822,19.16,3.21,4.56,1.41,1.1,2.04,2.38,23.0,1.0,0,1,0,0
(주)좋은책신사고,38643,2020,80.9,0.0,11.39,33.48,513.0,468.9,16.38,15.52,0.0,55.09,51.79,68.42,85.93,11.12,9.63,27.36,12.19,11.49,33.06,-2.04,-3.390000000000001,4.430993727117631,4.43,8.6,-3.59,-2.54,-1.69,29753.902982210104,15.14,49.64,44.51,61.47,79.75,0.3400683000308312,1.79,0.57,1.1,0.35,0.35,1.06,0.52,29.0,1.0,0,1,0,0
유디엠씨(주),57114,2017,6.19,6.41,5.63,66.7,70.42,70.42,1008.03,102.77,87.96,-2.74,0.23,6.53,9.03,-14.07,-10.26,-16.17,4.42,4.42,54.05,70.22,8.329999999999998,-6.16785511206895,-6.17,4.97,-6.86,-4.08,32635.92918076028,3671.23,5.42,368967.84,64.12,-25.22,95.92,0.084485014340914,0.0,1.33,11497.52,0.63,0.08,0.09,1.33,18.0,1.0,0,1,0,0
유신합성(주),58367,2014,3.98,4.44,3.29,4.51,19.73,8.81,478.78,458.13,74.03,-63.53,0.06,15.62,17.28,13.68,2.2,3.03,3.64,3.6,5.01,4.98,-23.56,-3.1404328100766765,-3.14,-8.48,-2.08,-1.91,-0.78,1157.44,13.86,16.54,18.98,15.97,65.98,0.73004297353493,11.76,9.85,0.87,0.73,0.72,0.86,4.47,35.0,1.0,0,1,0,0
유씨엘스위프트,63854,2017,4.82,6.55,4.74,6.03,58.09,47.98,6682.63,6285.9,72.46,-38.84,1.53,53.84,1.47,-191.18,-51.79552431847392,-81.26,-17.47,-17.64,-30.23,2.94,-199.41,-41.042215854950825,-41.04,-41.71,-40.25,-32.07,-14.91,-9110.18963235763,-42.456558295725785,-121.34,-61.79,0.0,0.0,0.7866346961808375,1.5,1.34,1.81,0.66,0.58,1.27,1.08,26.0,1.0,0,1,0,0
유일고무주식회사,16951,2014,-0.06,-0.16,-0.05,-0.02,87.6,75.17,296.83,199.72,30.72,-6.24,0.93,44.09,25.2,6.78,1.81,0.73,0.96,0.92,0.4,0.48,-8.649999999999999,-0.2748914964787514,-0.27,4.1,-3.47,2.52,-4.17,7367.33,17.63,37.67,7.74,9.37,49.23,2.2767216447188146,6.68,6.11,4.76,2.5,2.27,4.0,5.27,37.0,1.0,0,1,0,0
유한회사싸카,97776,2022,10.53,13.92,4.98,2.62,231.44,128.99,89.7,36.36,35.78,25.19,17.43,44.36,52.71,2.1,1.15,0.59,-3.15,-3.16,-1.73,0.86,26.31,-6.925596642311022,-6.93,-18.52,4.99,33.78,-1.21,3417.61,22.6,62.78,11.88,4.95,43.92,1.9016718176829857,23.35,7.23,5.25,1.95,1.83,3.5,3.85,21.0,1.0,0,1,0,0
으뜸화성교육(주),51287,2014,6.06,6.34,5.4,88.27,124.89,124.89,820.3,57.75,85.21,1.56,33.89,7.84,10.87,-3.72,-0.41,-6.74,3.55,3.55,59.74,66.48,-0.06,-5.841119559221963,-5.84,-30.35,-2.94,-7.67,0.0,1179.52,3.66,0.0,59.74,-11.28,0.0,0.0611840979299077,0.0,0.64,0.0,0.06,0.06,0.07,0.64,17.0,1.0,0,1,0,0
음성교통(주),76506,2017,0.42,0.48,0.41,1.01,9.54,9.34,4449.06,2124.11,84.84,-42.24,7.24,4.45,2.2,-71.08,-2.73,-5.97,0.26,0.14,0.36,6.74,-85.42999999999999,-1.9486198174376392,-1.95,-27.36,-0.32,115.75,-0.04,949.3,9.57,11.52,23.59,-25.32,33.83,0.4058303847909564,460.3,7.8,0.49,0.46,0.4,0.42,7.67,25.0,1.0,0,1,0,0
의정부경량전철주식회사,93074,2021,4.82,4.93,4.35,25.09,36.85,36.85,913.39,47.52,88.16,-2.96,0.15,1.73,9.87,-3.61,-0.35,-2.09,2.24,2.24,13.21,15.3,-1.69,-4.59714979798055,-4.6,-1.42,-4.65,-0.37,0.0,12958.89,7.3,0.0,42.11,-4.97,97.08,0.1733210772005633,730.83,9.96,0.0,0.17,0.17,0.17,9.96,6.0,1.0,0,1,0,0
이노프라주식회사,28566,2018,0.96,3.85,0.56,0.55,114.2,77.37,140.61,107.71,14.55,6.36,4.63,51.12,41.56,-14.31,-7.36,-6.27,-6.12,-6.65,-6.25,-0.05,-2.6900000000000013,9.015628926904451,9.02,22.54,-2.27,13.46,-5.12,400.14,2.36,6.04,2.32,-270.79,-124.07,1.020081431787672,4.25,3.53,2.54,1.17,1.06,2.06,2.2,25.0,1.0,0,1,0,0
이에스에너지주식회사,67671,2017,36.98,99.36,54.29,46.01,9.13,9.03,0.0,0.0,54.64,-132.58,0.09,13.32,0.0,0.0,-1.58,-0.8,-5.38,-5.4,-5.45,6.36,0.0,-27.567893460538183,-27.57,5.79,-30.92,6.48,-74.94,7867.68,60.26,346.8,51.07,-1.57,97.3,1.1799656697801086,11.57,9.24,2.72,1.96,0.99,1.11,9.11,13.0,1.0,0,1,0,0
이에스파워유한회사,93167,2021,2.07,11.05,2.73,15.31,22.02,20.72,0.0,0.0,24.71,-66.13,7.69,18.67,0.0,0.0,-2.22,-12.61,-3.99,-4.08,-23.22,20.28,0.0,-2.7391623058831414,-2.74,27.51,-7.76,61.65,-7.77,7370.39,9.34,11.49,52.38,-24.07,95.48,0.178290265474257,15.69,1.33,0.21,0.18,0.18,0.21,1.07,12.0,1.0,0,1,0,0
이지슈퍼물류주식회사,62381,2014,-2.37,-2.92,-1.95,-1.15,98.24,72.52,465.96,216.71,67.0,-0.67,4.4,37.62,17.67,1.09,0.19,0.11,1.75,1.42,0.86,1.72,-10.25,-4.839040562449855,-4.84,-6.18,-4.01,-11.74,-4.52,3622.1,14.71,24.42,8.7,1.3,49.68,1.69132623870008,7.24,5.78,2.73,1.67,1.65,2.66,4.35,14.0,1.0,0,1,0,0
이천리얼에스테이트주식회사,94904,2021,1.68,1.72,1.43,22.94,223.96,223.96,560.58,9.03,83.08,1.69,178.63,3.06,15.14,-15.42,-2.51,-40.62,3.21,3.21,52.03,57.84,-8.26,-1.840064767608821,-1.84,-7.82,-1.64,-3.11,-1.67,2401.02,3.13,3.23,50.28,-80.79,0.0,0.0622764255125751,18.49,1.95,0.06,0.06,0.06,0.06,1.95,5.0,1.0,0,1,0,0
이화팜텍주식회사,53141,2017,6.94,7.69,3.54,8.32,93.99,40.65,104.09,54.81,46.06,-1.61,9.42,25.24,49.0,-6.95,-3.44,-8.3,-2.54,-2.57,-6.32,3.3,-7.45,-8.316507314321521,-8.32,-24.61,-1.1,-9.78,-1.39,1219.02,6.43,8.82,15.13,-54.85,32.04,0.4254047963579545,5.74,3.06,0.58,0.41,0.41,0.57,1.45,42.0,1.0,0,1,0,0
인천보람교육(주),63554,2014,3.62,3.72,3.48,55.42,137.54,137.54,2468.28,135.91,93.54,1.99,0.01,7.28,3.89,-0.59,-0.02,-0.37,4.84,4.84,78.16,78.53,24.98,-3.046627305901985,-3.05,6.71,-3.74,-2.06,0.0,2998.31,4.91,0.0,78.16,-0.47,0.0,0.0628358508573904,0.0,0.89,0.0,0.06,0.06,0.07,0.89,13.0,1.0,0,1,0,0
인천아트센터(주),56688,2022,-0.45,-8.04,-1.02,-17.84,233.48,30.01,0.0,0.0,12.7,56.53,23.19,98.88,0.0,0.0,-6.82,-122.26,-6.63,-6.78,-121.45,9.57,0.0,-4.757300656279046,-4.76,-4.8,-0.6,64.26,-44.7,329.02,1.18,12255.6,20.58,-594.11,-82.83,0.0572057861864835,3.02,0.38,424.17,0.06,0.06,5.07,0.06,17.0,1.0,0,1,0,0
인천예선주식회사,87271,2019,4.85,92.48,5.48,13.89,171.86,171.86,0.0,0.0,5.93,5.19,36.76,12.41,0.0,0.0,-1.41,-3.73,3.35,3.35,8.85,12.83,0.0,-7.771832648874848,-7.77,-11.17,-7.27,-6.18,-7.62,1096.82,16.26,18.69,41.19,-9.06,67.77,0.3947706758073083,4.13,2.99,0.44,0.38,0.38,0.43,2.99,7.0,1.0,0,1,0,0
인천지식정보센터주식회사,56709,2014,5.6,6.07,5.13,111.01,130.24,130.24,1090.32,58.78,84.42,1.49,4.32,6.43,8.4,-4.48,-0.4,-8.34,4.1,0.07,1.47,9.48,0.6899999999999995,-3.505679055286156,-3.51,9.31,-4.28,1.44,0.0,12.52,0.07,0.0,1.48,-562.37,0.0,0.0461738483016984,0.0,0.75,0.0,0.05,0.05,0.05,0.75,17.0,1.0,0,1,0,0
인트라정공(주),99807,2022,2.57,2.77,1.94,4.8,64.66,15.77,306.7,153.21,70.19,-13.31,4.95,24.36,24.59,5.25,1.31,3.33,-0.45,-0.45,-1.15,4.68,10.42,-5.204877456478283,-5.2,-10.8,-3.25,19.44,-3.23,2477.3,10.22,13.52,25.28,13.16,80.36,0.4041852959398113,7.67,5.36,0.53,0.39,0.39,0.53,1.56,21.0,1.0,0,1,0,0
